tweet_id,text,draft_response,relevance,grounding,helpfulness,safety,escalation,overall,human_comment
523825,@241073 @AppleSupport I have that problem too. Please help,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @249088 We're happy to help! Please check out the following article: https://t.co/osZOKKTalm If you need to update the iOS be sure to create a backup before beginning. DM us if you have additional questions. https://t.co/GDrqU22YpT",3,3,3,5,5,3,
2002212,@applesupport. hi. word on the street is i can inquire about my phone's battery life here. seems to be dying ...,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @592044 We can help. Follow these steps and DM us what iPhone and version of iOS you are using if issues persist: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT",4,4,4,5,5,4,
1134140,@AppleSupport i can't reset my password for my apple id please help,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @387234 We'd like to help. Have you tried resetting the Apple ID through our website? Check out this article: https://t.co/ZTde7mzxXQ",5,4,4,5,5,4,
669244,@AppleSupport why when i turn my WiFi off does it suddenly come back on?? Fix this.,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @279599 We'd love to help. Which device are you experiencing this issue on? Which version of software is being used on that device?",4,4,3,5,5,4,
2743029,@AppleSupport No. She doesn’t have a twitter account and she’s in her mid-80s. Easier via me. What’s the issue do you think?,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @765475 Let's continue over DM. https://t.co/GDrqU22YpT",2,3,2,5,4,2,
1375800,"@AppleSupport Yep,  it was there. I fix it by restoring from a backup and running update again.","Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @440258 Thank you for the update. We're glad to hear it's working properly now.  Contact us again if you need further assistance.",5,5,5,5,5,5,
966331,Is anyone have a problem updating to #iOS 11.0.3 🤔 @349334 @AppleSupport https://t.co/JgJwCx8mQp,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @349333 This article on over-the-air updates may help: https://t.co/Ui1yTnOCUz",5,5,5,5,5,5,
2122589,@AppleSupport fix the auto correct bugs and the I️ bug. You know what I’m talking about!,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @625313 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",5,5,5,5,5,5,
932778,@115858 this iOS 11 update has trashed my brand new iphone. This is ridiculous.,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @341263 We'd like to work with you. What seems to be going on with your iPhone?",5,5,5,5,5,5,
2301986,lm using lowercase L’s as l’s until @AppleSupport fixes this question mark shit😑,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @668062 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",4,4,4,5,5,4,
1598120,"This @AppleSupport update blows. And for what we pay for these phones, they should do that too.","Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @180336 It's important to be able to enjoy your phone. Send us a DM and we can look into this for you. https://t.co/GDrqU22YpT",2,3,2,5,5,2,
1981773,Man what the fuck is this I️ @115858,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @586607 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT",5,5,5,5,5,5,
364721,@AppleSupport Thats wat i do but that works not always good...,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @202412 What kind of data is missing from your Watch backup? Send us a DM to let us know. https://t.co/GDrqU22YpT",2,3,2,5,4,2,
1921538,"@AppleSupport I’m part of the Apple upgrade program. If I can’t pre order this time, I’ll be able to the next wave correct?","Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @135307 We'd like to guide you in the right direction. DM us the country or region you're located in and we'll go from there. https://t.co/GDrqU22YpT",2,3,2,5,5,2,
961710,@AppleSupport Is this true or false? https://t.co/DqF9O88IX7,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @610268 We'd be happy to help. Check out this link with more information on phishing emails: https://t.co/LNMCdqt6fD",2,2,2,5,4,2,
2239373,"Rang @115858 support for help getting my iCloud to fucking work and ended up losing every photo/video I have, fucking good 1 apple, cheers👍🏼","Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @652950 We'd like to help. Let's meet in DM to work this out. https://t.co/GDrqU22YpT",2,3,2,5,4,2,
1107374,@AppleSupport I’ve sent you a DM.,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @381358 We’ve received your DM, and we’ll respond from there shortly.",4,4,4,5,5,4,
545262,@AppleSupport hi I have an iPhone x that every 30 seconds or so is now re-locking itself. Even if I don’t unlock it to begin with or if I am actively using it. This fault developed in the middle of the night. Is it a known issue and what can be done to resolve? Thank you,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @175804 Thank you for that information. Did this just start happening? Also, which iOS version is your device on?",2,3,2,5,4,2,
1470688,@AppleSupport DO SOMETHING @115858 https://t.co/dIDiJhhclj,"Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @461360 We'll help out. Let's start with the instructions here to try to resolve that No SIM message. https://t.co/UTP2qBi1Is",5,5,5,5,5,5,
2144654,"@AppleSupport Ok, how do I fix “it” changing to I.T.","Thanks for reaching out. Based on similar Apple Support cases, a useful next step is: @344743 Let's look into this further via DM. Please confirm the version of iOS you're running to get started. https://t.co/GDrqU22YpT",5,5,4,5,5,5,
